Analyzing c:/dev/projects/aegis\.gitignore with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\infrastructure\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\infrastructure\harnesses\aider.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\infrastructure\harnesses\base.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\infrastructure\harnesses\claude.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\infrastructure\harnesses\gemini.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\infrastructure\harnesses\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\kernel\errors.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\kernel\models.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\kernel\server.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\kernel\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\__init__.py with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\architecture\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\architecture\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\best-practices\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\best-practices\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\dependencies\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\dependencies\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\design\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\design\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\documentation\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\documentation\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\general\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\general\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\go\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\go\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\infrastructure\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\infrastructure\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\javascript-typescript\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\javascript-typescript\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\performance\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\performance\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\rust\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\rust\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\security\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\security\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\semantic\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\semantic\rules.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
Analyzing c:/dev/projects/aegis\src\aegis\resources\default_rules\structure\pack.yaml with 15 rules: ['arch-no-print', 'arch-no-todo', 'arch-no-star-import', 'arch-circular-import', 'arch-module-boundary', 'arch-import-groups', 'no-print', 'custom-no-print', 'deps-known-vulnerabilities', 'deps-excessive-count', 'deps-duplicate-transitive', 'design-srp-class-size', 'design-ocp-type-dispatch', 'design-isp-interface-size', 'design-dip-abstractions']
